# Please cite this paper in any communication about any use of Correct@TDS : 
#  Coming soon...
#  Average over 10000 waveforms. Timestamp: unknown
#  timeaxis (ps) 	 E-field
-7.382787782696944987e+02	2.514894493562208188e-03
-7.382454452221610381e+02	2.576495540587636548e-03
-7.382121121746275776e+02	2.599668475394624565e-03
-7.381787791270941170e+02	2.656699594761801220e-03
-7.381454460795606565e+02	2.691434195254097106e-03
-7.381121130320271959e+02	2.782081557667386278e-03
-7.380787799844938490e+02	2.836127517655039846e-03
-7.380454469369603885e+02	2.880201225278552091e-03
-7.380121138894269279e+02	2.909562526508784139e-03
-7.379787808418934674e+02	2.953493498598485593e-03
-7.379454477943600068e+02	2.972307273685267145e-03
-7.379121147468265463e+02	3.008152211131479535e-03
-7.378787816992931994e+02	3.021605173915910009e-03
-7.378454486517597388e+02	3.004696375425448818e-03
-7.378121156042262783e+02	2.976103147868930984e-03
-7.377787825566928177e+02	2.951632536880299373e-03
-7.377454495091593571e+02	2.898374603829675499e-03
-7.377121164616260103e+02	2.818213276884031730e-03
-7.376787834140925497e+02	2.750083021425126818e-03
-7.376454503665590892e+02	2.708014514174356211e-03
-7.376121173190256286e+02	2.640333472220087168e-03
-7.375787842714921680e+02	2.575719422178171514e-03
-7.375454512239587075e+02	2.475856423394693674e-03
-7.375121181764253606e+02	2.403928980123090382e-03
-7.374787851288919001e+02	2.361872223307325425e-03
-7.374454520813584395e+02	2.319003068500156538e-03
-7.374121190338249789e+02	2.258160002926131935e-03
-7.373787859862915184e+02	2.229893158713244089e-03
-7.373454529387580578e+02	2.228637333669507715e-03
-7.373121198912247110e+02	2.189081790498946523e-03
-7.372787868436912504e+02	2.151161969361371513e-03
-7.372454537961577898e+02	2.149811667197239901e-03
-7.372121207486243293e+02	2.148015644239891983e-03
-7.371787877010908687e+02	2.132776168631811062e-03
-7.371454546535574082e+02	2.118432969085761678e-03
-7.371121216060240613e+02	2.138285943783830353e-03
-7.370787885584906007e+02	2.141396069680199816e-03
-7.370454555109571402e+02	2.108159393011222165e-03
-7.370121224634236796e+02	2.095546113483286784e-03
-7.369787894158902191e+02	2.081984777435945747e-03
-7.369454563683567585e+02	2.096255271474936274e-03
-7.369121233208234116e+02	2.074066758128768374e-03
-7.368787902732899511e+02	2.037162482657845896e-03
-7.368454572257564905e+02	2.027952523659966918e-03
-7.368121241782230300e+02	2.021394892601537097e-03
-7.367787911306895694e+02	2.010361454257530902e-03
-7.367454580831561088e+02	1.999497383454337546e-03
-7.367121250356227620e+02	1.992039579948190735e-03
-7.366787919880893014e+02	1.994575317011988442e-03
-7.366454589405558409e+02	1.987181948194478853e-03
-7.366121258930223803e+02	1.965654579050158789e-03
-7.365787928454889197e+02	1.962398356269872291e-03
-7.365454597979555729e+02	1.952135202631022880e-03
-7.365121267504221123e+02	1.935392482226488313e-03
-7.364787937028886518e+02	1.964021856824160490e-03
-7.364454606553551912e+02	1.961539556632438484e-03
